Date,close,f,m,f_disgust,m_disgust,fol1,fol2,fol3,bins
2016/2/26,0.95,8278,30829,1156,4207,13326,21490,4291,"(0.0, 1.4]"
2016/2/29,-2.86,9959,36077,994,3739,13820,27204,5012,"(-4.2, -1.4]"
2016/3/1,1.68,9775,35604,1262,4539,14123,25726,5530,"(1.4, 4.2]"
2016/3/2,4.26,10940,35665,2413,6006,13654,27163,5788,"(4.2, 10.0]"
2016/3/3,0.35,9432,30863,1611,3853,12030,23213,5052,"(0.0, 1.4]"
2016/3/4,0.5,9613,30857,1935,3884,12390,22960,5120,"(0.0, 1.4]"
2016/3/7,0.81,8117,29668,1345,3757,11874,21006,4905,"(0.0, 1.4]"
2016/3/8,0.14,8656,30976,1477,4401,12381,22087,5164,"(0.0, 1.4]"
2016/3/9,-1.34,9609,33032,1491,4611,12066,25121,5454,"(-1.4, 0.0]"
2016/3/10,-2.02,9629,30197,1265,4332,11802,22779,5245,"(-4.2, -1.4]"
2016/3/11,0.2,3551,11716,600,1695,3506,9598,2163,"(0.0, 1.4]"
2016/3/14,1.75,2574,6897,415,716,1485,6480,1506,"(1.4, 4.2]"
2016/3/15,0.17,2192,7420,419,671,1897,6249,1466,"(0.0, 1.4]"
2016/3/16,0.21,2315,7590,400,778,1878,6526,1501,"(0.0, 1.4]"
2016/3/17,1.2,2149,7652,373,761,1724,6672,1405,"(0.0, 1.4]"
2016/3/18,1.73,2317,7830,336,893,1533,6704,1910,"(1.4, 4.2]"
2016/3/21,2.15,5891,19596,732,2385,7640,14417,3430,"(1.4, 4.2]"
2016/3/22,-0.64,11260,33355,1393,4423,13245,25691,5679,"(-1.4, 0.0]"
2016/3/23,0.35,11661,35427,2007,5749,13916,27423,5749,"(0.0, 1.4]"
2016/3/24,-1.63,11387,33751,1523,4675,12271,26858,6009,"(-4.2, -1.4]"
2016/3/25,0.61,10456,30097,1532,3740,12073,23756,4724,"(0.0, 1.4]"
2016/3/28,-0.72,12606,32224,1417,3686,13292,26311,5227,"(-1.4, 0.0]"
2016/3/29,-1.28,11045,32503,1364,3464,13506,24613,5429,"(-1.4, 0.0]"
2016/3/30,2.77,11696,32226,1546,3910,12686,25717,5519,"(1.4, 4.2]"
2016/3/31,0.11,12675,34745,1440,4243,15887,26171,5362,"(0.0, 1.4]"
2016/4/1,0.19,11544,29379,1431,3833,12908,23222,4793,"(0.0, 1.4]"
2016/4/5,1.45,12387,35346,1645,4109,15245,26730,5758,"(1.4, 4.2]"
2016/4/6,-0.08,12888,35431,1609,4431,15152,27177,5990,"(-1.4, 0.0]"
2016/4/7,-1.38,11705,32952,1383,3725,13382,25476,5799,"(-1.4, 0.0]"
2016/4/8,-0.78,11245,32983,1230,3757,12615,25857,5756,"(-1.4, 0.0]"
2016/4/11,1.64,11980,37533,1856,4577,14063,28689,6761,"(1.4, 4.2]"
2016/4/12,-0.34,13061,34574,1077,3429,13626,28247,5762,"(-1.4, 0.0]"
2016/4/13,1.42,14750,39521,1679,4099,15324,32113,6834,"(1.4, 4.2]"
2016/4/14,0.51,12207,33096,1155,3670,12470,27246,5587,"(0.0, 1.4]"
2016/4/15,-0.14,12384,31748,1066,3093,12195,26676,5261,"(-1.4, 0.0]"
2016/4/18,-1.44,13805,34265,1250,3320,12278,29889,5903,"(-4.2, -1.4]"
2016/4/19,0.3,15427,36221,1445,3888,11655,33956,6037,"(0.0, 1.4]"
2016/4/20,-2.31,14394,38099,1460,3841,13263,33148,6082,"(-4.2, -1.4]"
2016/4/21,-0.66,16260,39373,1776,4611,14202,34786,6645,"(-1.4, 0.0]"
2016/4/22,0.22,16145,37308,1802,4438,13328,34265,5860,"(0.0, 1.4]"
2016/4/25,-0.42,14833,33363,1332,3550,11000,31106,6090,"(-1.4, 0.0]"
2016/4/26,0.61,16200,35070,1138,3593,9934,34811,6525,"(0.0, 1.4]"
2016/4/27,-0.37,15908,33795,1166,3872,11354,32035,6314,"(-1.4, 0.0]"
2016/4/28,-0.27,13827,36243,1121,3683,12929,30779,6362,"(-1.4, 0.0]"
2016/4/29,-0.25,10119,28674,1212,3287,9595,23485,5713,"(-1.4, 0.0]"
2016/5/3,1.85,14143,34987,852,3005,12574,29299,7257,"(1.4, 4.2]"
2016/5/4,-0.05,13043,33822,1204,3673,12345,28140,6380,"(-1.4, 0.0]"
2016/5/5,0.22,12225,32971,1375,3306,12745,26682,5769,"(0.0, 1.4]"
2016/5/6,-2.82,13267,36326,1178,3723,14507,29148,5938,"(-4.2, -1.4]"
2016/5/9,-2.79,13940,36698,1120,3820,12910,31232,6496,"(-4.2, -1.4]"
2016/5/10,0.02,14695,32666,995,3249,13091,28028,6242,"(0.0, 1.4]"
2016/5/11,0.16,12237,31738,1012,2880,12970,24820,6185,"(0.0, 1.4]"
2016/5/12,-0.04,13030,30601,911,2836,12188,25336,6107,"(-1.4, 0.0]"
2016/5/13,-0.31,9259,27513,785,2888,12288,18878,5606,"(-1.4, 0.0]"
2016/5/16,0.84,12142,29481,792,2997,14344,20874,6405,"(0.0, 1.4]"
2016/5/17,-0.25,11552,30127,812,3390,14319,20461,6899,"(-1.4, 0.0]"
2016/5/18,-1.27,13065,31898,1000,3129,14194,24026,6743,"(-1.4, 0.0]"
2016/5/19,-0.02,6018,11953,456,1478,5673,9808,2490,"(-1.4, 0.0]"
2016/5/20,0.66,12254,23724,764,2741,12268,18332,5378,"(0.0, 1.4]"
2016/5/23,0.64,13391,30301,2236,4489,12859,24245,6588,"(0.0, 1.4]"
2016/5/24,-0.77,10395,26078,808,2866,9861,20129,6483,"(-1.4, 0.0]"
2016/5/25,-0.23,10799,28549,1112,3050,10951,21754,6643,"(-1.4, 0.0]"
2016/5/26,0.26,8825,25043,911,2836,9161,18607,6100,"(0.0, 1.4]"
2016/5/27,-0.05,9399,24821,1352,3538,10478,17788,5954,"(-1.4, 0.0]"
2016/5/30,0.05,9086,25188,804,3116,8987,18768,6519,"(0.0, 1.4]"
2016/5/31,3.34,10849,31197,1403,4109,10846,23135,8065,"(1.4, 4.2]"
2016/6/1,-0.11,10440,25490,1241,3918,10430,19138,6362,"(-1.4, 0.0]"
2016/6/2,0.4,7569,21304,966,3342,7978,15547,5348,"(0.0, 1.4]"
2016/6/3,0.46,7669,24166,967,3090,8493,17085,6257,"(0.0, 1.4]"
2016/6/6,-0.16,8697,25881,886,3024,8831,19421,6326,"(-1.4, 0.0]"
2016/6/7,0.07,9087,26854,830,3148,9022,20515,6404,"(0.0, 1.4]"
2016/6/8,-0.3,9333,25082,1018,3260,8873,19746,5796,"(-1.4, 0.0]"
2016/6/13,-3.21,9494,26056,974,2937,8897,20351,6302,"(-4.2, -1.4]"
2016/6/14,0.32,11552,29142,1040,3031,10263,23570,6861,"(0.0, 1.4]"
